Time;IBI;HR;LVET;HRS;Sys;Dia;MAP;SV;CO;SVR;SVI;CI;SVRI;dP/dt;COCalibr
17.780000;0,745;81;0,350;7;127;79;95;126;10,2;743;53;4,3;1755;1116;-1,000
18.525000;0,740;81;0,330;7;123;79;93;94;7,6;975;39;3,2;2310;1078;-1,000
19.265000;0,725;83;0,325;7;122;78;96;114;9,4;813;48;4,0;1920;1052;-1,000
19.990000;0,725;83;0,320;7;132;80;96;117;9,6;795;49;4,1;1885;1034;-1,000
20.715000;0,725;83;0,310;7;131;79;95;116;9,6;783;49;4,1;1855;1009;-1,000
21.440000;0,675;89;0,310;7;131;78;95;116;9,6;783;49;4,1;1855;1009;-1,000
22.115000;0,695;86;0,310;7;131;78;95;116;9,6;783;49;4,1;1855;1009;-1,000
22.810000;0,685;88;0,310;7;131;78;95;116;9,6;783;49;4,1;1855;1009;-1,000
23.495000;1,320;45;0,310;7;131;78;95;116;9,6;783;49;4,1;1855;1009;-1,000
24.815000;0,700;86;0,310;7;131;78;95;116;9,6;783;49;4,1;1855;1009;-1,000
25.515000;0,700;86;0,325;7;146;91;106;103;8,8;963;43;3,7;2280;1056;-1,000
26.215000;0,670;90;0,315;7;141;89;105;101;9,0;930;42;3,8;2200;1019;-1,000
26.885000;0,675;89;0,330;7;140;91;104;96;8,5;980;40;3,6;2320;972;-1,000
27.560000;0,690;87;0,330;7;137;89;103;96;8,4;985;41;3,5;2335;1081;-1,000
28.250000;0,750;80;0,330;7;135;88;103;96;8,4;985;41;3,5;2335;1081;-1,000
29.000000;0,745;81;0,330;7;135;88;103;96;8,4;985;41;3,5;2335;1081;-1,000
29.745000;0,705;85;0,330;7;135;88;103;96;8,4;985;41;3,5;2335;1081;-1,000
30.450000;0,710;85;0,330;7;135;88;103;96;8,4;985;41;3,5;2335;1081;-1,000
31.160000;0,650;92;0,300;8;127;82;101;97;8,9;900;41;3,8;2135;1058;-1,000
31.810000;0,655;92;0,355;8;143;101;108;76;6,9;1248;32;2,9;2955;959;-1,000
32.465000;0,615;98;0,355;7;136;101;106;68;6,6;1288;28;2,8;3050;914;-1,000
33.080000;0,605;99;0,355;6;134;95;102;85;8,4;965;36;3,5;2290;772;-1,000
33.685000;0,590;102;0,350;5;128;91;99;85;8,6;913;36;3,6;2160;853;-1,000
34.275000;0,575;104;0,235;4;130;96;98;73;7,7;1023;31;3,2;2420;683;-1,000
34.850000;0,590;102;0,245;4;127;96;98;69;7,0;1115;29;2,9;2640;742;-1,000
35.440000;0,515;117;0,245;3;125;92;98;69;7,0;1115;29;2,9;2640;742;-1,000
35.955000;0,660;91;0,245;3;125;92;98;69;7,0;1115;29;2,9;2640;742;-1,000
